datetime,Open,High,Low,Close,Volume
2022-10-19,19320.90000,19349.80000,19050.00000,19116.70000,404370.45800
2022-10-20,19116.60000,19350.00000,18882.40000,19034.70000,537627.04800
2022-10-21,19034.80000,19240.00000,18600.00000,19150.90000,581878.90500
2022-10-22,19151.00000,19250.00000,19103.50000,19195.10000,174055.04200
2022-10-23,19195.10000,19690.00000,19050.00000,19560.70000,358611.54200
2022-10-24,19560.60000,19593.30000,19146.00000,19318.10000,476676.53600
2022-10-25,19318.10000,20415.00000,19228.00000,20068.30000,777306.53400
2022-10-26,20068.30000,21030.00000,20041.10000,20758.30000,841864.98200
2022-10-27,20758.40000,20863.70000,20170.00000,20285.50000,614910.04500
2022-10-28,20285.60000,20740.00000,19951.00000,20582.80000,595538.88200
2022-10-29,20582.70000,21088.00000,20547.80000,20796.70000,482217.17000
2022-10-30,20796.70000,20925.20000,20503.00000,20615.60000,295389.69000
2022-10-31,20615.50000,20838.70000,20225.40000,20482.00000,478797.26600
2022-11-01,20482.10000,20687.00000,20320.00000,20472.10000,314676.18700
2022-11-02,20472.10000,20796.00000,20050.00000,20140.10000,651535.76100
2022-11-03,20140.20000,20400.00000,20026.00000,20199.70000,372121.06100
2022-11-04,20199.80000,21297.00000,20171.60000,21137.60000,824515.21500
2022-11-05,21137.60000,21473.70000,21071.10000,21289.90000,303983.37200
2022-11-06,21289.80000,21355.80000,20863.30000,20900.00000,277148.64600
2022-11-07,20900.00000,21062.60000,20374.00000,20578.60000,554408.31600
2022-11-08,20578.50000,20685.00000,16830.00000,18534.00000,2046476.31300
2022-11-09,18533.90000,18574.90000,15462.60000,15905.00000,2065606.41200
2022-11-10,15905.00000,18230.00000,15730.00000,17588.00000,1497093.60200
2022-11-11,17588.00000,17678.00000,16343.00000,17058.30000,955344.60200
2022-11-12,17058.40000,17110.80000,16623.80000,16806.90000,304455.71700
2022-11-13,16806.90000,16950.00000,16210.30000,16321.20000,349742.83600
2022-11-14,16321.30000,17188.00000,15805.50000,16605.20000,934392.48400
2022-11-15,16605.30000,17127.20000,16516.70000,16888.30000,649349.45800
